subj,item,CondA,CondB,CondC,FFD
Sub_001,I1,A1,B1,C1,226
Sub_001,I5,A1,B1,C1,222
Sub_001,I9,A1,B1,C1,234
Sub_001,I13,A1,B1,C1,265
Sub_001,I17,A1,B1,C1,261
Sub_001,I21,A1,B1,C1,312
Sub_001,I25,A1,B1,C1,232
Sub_001,I29,A1,B1,C1,264
Sub_001,I33,A1,B1,C2,238
Sub_001,I37,A1,B1,C2,251
Sub_001,I45,A1,B1,C2,249
Sub_001,I49,A1,B1,C2,370
Sub_001,I53,A1,B1,C2,293
Sub_001,I57,A1,B1,C2,193
Sub_001,I61,A1,B1,C2,366
Sub_001,I2,A1,B2,C1,219
Sub_001,I6,A1,B2,C1,200
Sub_001,I10,A1,B2,C1,214
Sub_001,I14,A1,B2,C1,276
Sub_001,I18,A1,B2,C1,670
Sub_001,I22,A1,B2,C1,219
Sub_001,I26,A1,B2,C1,341
Sub_001,I30,A1,B2,C1,262
Sub_001,I34,A1,B2,C2,366
Sub_001,I38,A1,B2,C2,550
Sub_001,I42,A1,B2,C2,277
Sub_001,I46,A1,B2,C2,275
Sub_001,I50,A1,B2,C2,259
Sub_001,I54,A1,B2,C2,297
Sub_001,I58,A1,B2,C2,469
Sub_001,I62,A1,B2,C2,438
Sub_001,I3,A2,B1,C1,419
Sub_001,I7,A2,B1,C1,340
Sub_001,I11,A2,B1,C1,227
Sub_001,I15,A2,B1,C1,307
Sub_001,I19,A2,B1,C1,372
Sub_001,I23,A2,B1,C1,335
Sub_001,I27,A2,B1,C1,253
Sub_001,I31,A2,B1,C1,194
Sub_001,I35,A2,B1,C2,236
Sub_001,I39,A2,B1,C2,216
Sub_001,I43,A2,B1,C2,212
Sub_001,I47,A2,B1,C2,299
Sub_001,I51,A2,B1,C2,260
Sub_001,I55,A2,B1,C2,205
Sub_001,I59,A2,B1,C2,273
Sub_001,I63,A2,B1,C2,230
Sub_001,I4,A2,B2,C1,753
Sub_001,I8,A2,B2,C1,412
Sub_001,I12,A2,B2,C1,189
Sub_001,I16,A2,B2,C1,204
Sub_001,I20,A2,B2,C1,215
Sub_001,I24,A2,B2,C1,428
Sub_001,I28,A2,B2,C1,383
Sub_001,I32,A2,B2,C1,201
Sub_001,I40,A2,B2,C2,209
Sub_001,I44,A2,B2,C2,203
Sub_001,I48,A2,B2,C2,436
Sub_001,I52,A2,B2,C2,318
Sub_001,I56,A2,B2,C2,384
Sub_001,I60,A2,B2,C2,312
Sub_001,I64,A2,B2,C2,277
Sub_002,I4,A1,B1,C1,242
Sub_002,I8,A1,B1,C1,413
Sub_002,I12,A1,B1,C1,253
Sub_002,I16,A1,B1,C1,200
Sub_002,I20,A1,B1,C1,437
Sub_002,I24,A1,B1,C1,503
Sub_002,I32,A1,B1,C1,453
Sub_002,I36,A1,B1,C2,125
Sub_002,I40,A1,B1,C2,290
Sub_002,I44,A1,B1,C2,199
Sub_002,I48,A1,B1,C2,352
Sub_002,I52,A1,B1,C2,443
Sub_002,I56,A1,B1,C2,250
Sub_002,I60,A1,B1,C2,229
Sub_002,I64,A1,B1,C2,199
Sub_002,I1,A1,B2,C1,298
Sub_002,I5,A1,B2,C1,569
Sub_002,I9,A1,B2,C1,342
Sub_002,I13,A1,B2,C1,257
Sub_002,I17,A1,B2,C1,707
Sub_002,I21,A1,B2,C1,418
Sub_002,I25,A1,B2,C1,203
Sub_002,I29,A1,B2,C1,167
Sub_002,I33,A1,B2,C2,424
Sub_002,I37,A1,B2,C2,191
Sub_002,I41,A1,B2,C2,246
Sub_002,I45,A1,B2,C2,194
Sub_002,I49,A1,B2,C2,174
Sub_002,I53,A1,B2,C2,900
Sub_002,I57,A1,B2,C2,320
Sub_002,I61,A1,B2,C2,310
Sub_002,I2,A2,B1,C1,232
Sub_002,I6,A2,B1,C1,494
Sub_002,I10,A2,B1,C1,291
Sub_002,I14,A2,B1,C1,268
Sub_002,I18,A2,B1,C1,240
Sub_002,I22,A2,B1,C1,287
Sub_002,I26,A2,B1,C1,304
Sub_002,I30,A2,B1,C1,369
Sub_002,I34,A2,B1,C2,236
Sub_002,I38,A2,B1,C2,220
Sub_002,I42,A2,B1,C2,224
Sub_002,I46,A2,B1,C2,457
Sub_002,I50,A2,B1,C2,225
Sub_002,I54,A2,B1,C2,232
Sub_002,I58,A2,B1,C2,261
Sub_002,I62,A2,B1,C2,517
Sub_002,I3,A2,B2,C1,311
Sub_002,I7,A2,B2,C1,251
Sub_002,I11,A2,B2,C1,257
Sub_002,I15,A2,B2,C1,344
Sub_002,I19,A2,B2,C1,380
Sub_002,I23,A2,B2,C1,267
Sub_002,I27,A2,B2,C1,275
Sub_002,I31,A2,B2,C1,225
Sub_002,I35,A2,B2,C2,256
Sub_002,I39,A2,B2,C2,398
Sub_002,I43,A2,B2,C2,243
Sub_002,I47,A2,B2,C2,318
Sub_002,I51,A2,B2,C2,241
Sub_002,I59,A2,B2,C2,336
Sub_002,I63,A2,B2,C2,425
Sub_003,I3,A1,B1,C1,200
Sub_003,I7,A1,B1,C1,210
Sub_003,I11,A1,B1,C1,343
Sub_003,I15,A1,B1,C1,226
Sub_003,I19,A1,B1,C1,238
Sub_003,I23,A1,B1,C1,212
Sub_003,I27,A1,B1,C1,405
Sub_003,I31,A1,B1,C1,298
Sub_003,I35,A1,B1,C2,245
Sub_003,I39,A1,B1,C2,207
Sub_003,I43,A1,B1,C2,228
Sub_003,I47,A1,B1,C2,208
Sub_003,I51,A1,B1,C2,285
Sub_003,I59,A1,B1,C2,201
Sub_003,I4,A1,B2,C1,238
Sub_003,I8,A1,B2,C1,257
Sub_003,I12,A1,B2,C1,393
Sub_003,I16,A1,B2,C1,229
Sub_003,I20,A1,B2,C1,313
Sub_003,I24,A1,B2,C1,423
Sub_003,I28,A1,B2,C1,285
Sub_003,I32,A1,B2,C1,391
Sub_003,I40,A1,B2,C2,362
Sub_003,I44,A1,B2,C2,272
Sub_003,I48,A1,B2,C2,441
Sub_003,I52,A1,B2,C2,212
Sub_003,I56,A1,B2,C2,368
Sub_003,I60,A1,B2,C2,337
Sub_003,I64,A1,B2,C2,270
Sub_003,I5,A2,B1,C1,253
Sub_003,I9,A2,B1,C1,271
Sub_003,I17,A2,B1,C1,404
Sub_003,I21,A2,B1,C1,312
Sub_003,I25,A2,B1,C1,303
Sub_003,I29,A2,B1,C1,348
Sub_003,I33,A2,B1,C2,261
Sub_003,I37,A2,B1,C2,214
Sub_003,I41,A2,B1,C2,291
Sub_003,I45,A2,B1,C2,266
Sub_003,I49,A2,B1,C2,356
Sub_003,I57,A2,B1,C2,182
Sub_003,I61,A2,B1,C2,268
Sub_003,I2,A2,B2,C1,203
Sub_003,I6,A2,B2,C1,399
Sub_003,I10,A2,B2,C1,200
Sub_003,I14,A2,B2,C1,244
Sub_003,I18,A2,B2,C1,200
Sub_003,I22,A2,B2,C1,166
Sub_003,I26,A2,B2,C1,262
Sub_003,I30,A2,B2,C1,303
Sub_003,I34,A2,B2,C2,251
Sub_003,I38,A2,B2,C2,229
Sub_003,I42,A2,B2,C2,241
Sub_003,I46,A2,B2,C2,213
Sub_003,I50,A2,B2,C2,294
Sub_003,I54,A2,B2,C2,258
Sub_003,I58,A2,B2,C2,148
Sub_003,I62,A2,B2,C2,425